MEMBER_NO,AGE_GROUP,SEX_CCD,HM_ZPN
Z1644296271ST,30th,M,14126
Z1644296531ST,30th,M,44688
Z1644299601ST,20th,F,4309
Z1644299671ST,20th,F,27147
Z1653227941ST,30th,M,63573
Z1663231591ST,30th,M,10344
Z1663260091ST,30th,M,6013
Z1704214621ST,30th,M,11486
Z1704216671ST,30th,M,24341
Z1704220221ST,30th,M,560291
Z1704227411ST,20th,F,5029
Z1704235221ST,30th,M,3632
Z1704239181ST,20th,F,6767
Z1704241921ST,20th,F,3047
Z1704282611ST,30th,M,28764
Z1714218171ST,30th,M,44750
Z1714220741ST,30th,M,16843
Z1714236421ST,20th,F,6332
Z1714239191ST,20th,F,14583
Z1714244511ST,20th,F,12629
Z1714254401ST,30th,M,10907
Z1714263871ST,30th,M,21100
Z1714265331ST,20th,F,14099
Z1714273721ST,20th,F,2078
Z1714280291ST,20th,F,38079
Z1714282321ST,20th,F,16903
Z1714283511ST,20th,F,13921
Z1723211401ST,20th,F,21675
Z1723283551ST,30th,M,5064
Z1724221261ST,20th,F,143769
Z1724225001ST,20th,F,4073
Z1724228151ST,20th,F,38010
Z1724253021ST,30th,M,24300
Z1724267051ST,30th,M,28474
Z1724278711ST,20th,F,530781
Z1733233311ST,30th,M,2015
Z1734212951ST,20th,F,34094
Z1734262101ST,20th,F,2754
Z1734264481ST,20th,F,5812
Z1734290591ST,30th,F,16936
Z1734299401ST,30th,M,13120
Z1743237291ST,30th,M,16340
Z1744218491ST,30th,F,6935
Z1744220311ST,30th,M,2473
Z1744227021ST,30th,M,58132
Z1744234571ST,30th,F,21103
Z1744241211ST,30th,F,58703
Z1744241261ST,30th,M,16707
Z1744243021ST,30th,F,25429
Z1744243121ST,30th,M,14005
Z1744243741ST,30th,M,28165
Z1744269471ST,30th,M,59529
Z1744273251ST,30th,M,54903
Z1744286741ST,30th,F,22194
Z1744292531ST,30th,F,10919
Z1753219701ST,30th,M,27913
Z1753265021ST,30th,M,4762
Z1753274911ST,30th,M,13393
Z1763249581ST,30th,F,18321
Z1804215761ST,30th,M,24341
Z1804265031ST,30th,F,61670
Z1814210881ST,30th,F,472821
Z1814210891ST,30th,M,7634
Z1814212301ST,30th,M,8655
Z1814212521ST,30th,F,41180
Z1814217321ST,30th,M,18105
Z1814217391ST,30th,F,16860
Z1814221101ST,30th,F,17773
Z1814229501ST,30th,F,10528
Z1814232411ST,30th,M,11918
Z1814238021ST,30th,F,13588
Z1814241791ST,30th,F,31191
Z1814244641ST,30th,F,6952
Z1814248921ST,30th,M,25494
Z1814252311ST,30th,F,17077
Z1814258091ST,30th,F,18589
Z1814260541ST,30th,M,28781
Z1814265421ST,30th,M,5044
Z1814274761ST,30th,M,21578
Z1814281681ST,30th,M,17410
Z1814281711ST,30th,F,27393
Z1814281771ST,30th,F,18321
Z1814285151ST,30th,F,16461
Z1814285571ST,30th,F,10463
Z1814286241ST,30th,M,5385
Z1814290811ST,30th,M,15886
Z1814292321ST,30th,F,27854
Z1814295581ST,30th,F,3717
Z1814298081ST,30th,F,42083
Z1814298541ST,30th,F,16874
Z1814298771ST,30th,F,2750
Z1824211551ST,30th,F,33444
Z1824214061ST,30th,F,15027
Z1824219091ST,30th,F,18606
Z1824220201ST,30th,F,13583
Z1824221751ST,30th,F,15869
Z1824227181ST,30th,M,36749
Z1824233241ST,30th,M,39149
Z1824238231ST,30th,F,28425
Z1824241151ST,30th,M,26491
Z1824244241ST,30th,F,17853
Z1824245041ST,30th,F,16918
Z1824246261ST,30th,F,441733
Z1824248191ST,30th,F,16958
Z1824257411ST,30th,F,14597
Z1824262001ST,30th,F,12218
Z1824262751ST,30th,F,21312
Z1824275131ST,30th,F,33429
Z1824275251ST,30th,F,429907
Z1824278421ST,30th,M,36323
Z1824280941ST,30th,M,36957
Z1824283421ST,30th,F,10241
Z1824284101ST,30th,F,13962
Z1824284811ST,30th,M,39290
Z1824287571ST,30th,M,21619
Z1824288571ST,30th,M,16871
Z1824289571ST,30th,M,7219
Z1824292371ST,30th,F,16316
Z1833279431ST,30th,M,10294
Z1833286401ST,30th,M,16448
Z1833299521ST,30th,F,448130
Z1834211771ST,30th,F,11914
Z1844229971ST,30th,F,32955
Z1844231121ST,30th,M,17038
Z1844251571ST,30th,F,32711
Z1853288791ST,30th,M,38086
Z1853296641ST,30th,M,4595
Z1872247271ST,30th,M,463740
Z1904264351ST,30th,F,21004
Z1914221261ST,30th,M,3108
Z1914242261ST,30th,M,52650
Z1914246421ST,30th,F,380772
Z1914247631ST,30th,M,53049
Z1914275581ST,30th,M,15881
Z1923222691ST,30th,M,13601
Z1924223071ST,30th,M,2817
Z1924227981ST,30th,F,18121
Z1924260891ST,30th,M,57250
Z1924262481ST,30th,M,13135
Z1924263611ST,30th,M,18245
Z1924264421ST,30th,F,41587
Z1924265751ST,30th,M,14950
Z1924267471ST,30th,M,18133
Z1924273961ST,30th,F,11351
Z1924275731ST,30th,M,39835
Z1924290521ST,30th,F,10072
Z1933232041ST,30th,M,59628
Z1933263991ST,30th,M,14244
Z1933264321ST,30th,M,42610
Z1933273581ST,30th,F,18133
Z1943277601ST,30th,M,16857
Z1953264551ST,30th,F,58525
Z1963215491ST,30th,M,10493
Z1963215571ST,30th,M,28749
Z1963227961ST,30th,M,31166
Z1963246391ST,30th,M,5514
Z1963260691ST,30th,M,34324
Z1963261191ST,30th,F,5570
Z1963280091ST,30th,F,14729
Z1963282891ST,30th,F,18319
Z1963289561ST,30th,M,412060
Z2013276341ST,30th,M,18442
Z2013289111ST,30th,F,31122
Z2014248001ST,30th,M,26420
Z2014290411ST,30th,M,34048
Z2024221021ST,30th,M,46070
Z2024226671ST,30th,M,17867
Z2024239631ST,30th,M,8861
Z2024253971ST,30th,M,4637
Z2033214351ST,30th,M,22324
Z2033245901ST,30th,M,8323
Z2034234771ST,30th,F,1456
Z2034236301ST,30th,F,38814
Z2034251571ST,30th,F,27137
Z2043253581ST,30th,M,6902
Z2043263811ST,30th,F,12954
Z2044247741ST,30th,F,18537
Z2044247911ST,30th,F,24340
Z2053249441ST,30th,M,8865
Z2053290801ST,30th,M,22678
Z2073229521ST,30th,M,1676
Z2073234221ST,30th,F,10323
Z2073252851ST,30th,M,18315
Z2073260651ST,30th,F,15853
Z2073261031ST,30th,M,16236
Z2073295181ST,30th,F,5333
Z2113258291ST,30th,M,13301
Z2114253691ST,30th,F,16917
Z2114257281ST,30th,M,17039
Z2124216611ST,30th,F,11919
Z2124226911ST,30th,F,8801
Z2124237451ST,30th,F,31165
Z2124287781ST,30th,F,27478
Z2134254081ST,30th,M,10416
Z2134269901ST,30th,M,39313
Z2134297591ST,30th,M,2750
Z2143223331ST,30th,M,5799
Z2143232921ST,30th,M,6509
Z2143275251ST,30th,M,59720
Z2144267071ST,30th,M,12645
Z2154260531ST,30th,F,6258
Z2154261871ST,30th,F,12169
Z2154267221ST,30th,M,17317
Z2154267341ST,30th,M,10038
Z2154271501ST,30th,M,4763
Z2163227551ST,30th,F,6219
Z2163260471ST,30th,F,28794
Z2163279831ST,30th,M,13440
Z2173225851ST,30th,F,44468
Z2173240921ST,30th,M,13523
Z2204299401ST,30th,F,14995
Z2213264201ST,30th,M,18138
Z2213287341ST,30th,M,16021
Z2213297321ST,30th,M,38681
Z2221701971ST,30th,F,2643
Z2224218801ST,30th,M,18321
Z2224277161ST,30th,M,4760
Z2233251011ST,30th,F,24450
Z2234217021ST,30th,M,31111
Z2234287761ST,30th,F,2422
Z2243266121ST,30th,F,15624
Z2244242051ST,30th,F,11449
Z2253210171ST,30th,F,16806
Z2253214371ST,30th,F,13588
Z2253261291ST,30th,F,26458
Z2253283531ST,30th,M,22628
Z2263210091ST,30th,F,5645
Z2263244411ST,30th,F,27470
Z2263249201ST,30th,F,39114
Z2263249701ST,30th,F,36729
Z2263272261ST,30th,F,13112
Z2263275351ST,30th,M,4805
Z2273212811ST,30th,M,4760
Z2273223871ST,30th,M,24138
Z2273265381ST,30th,F,24897
Z2313210921ST,30th,M,21986
Z2313217451ST,30th,M,35334
Z2313221391ST,30th,M,14715
Z2313223461ST,30th,M,5215
Z2313266291ST,30th,F,3341
Z2313293761ST,30th,F,8788
Z2323260461ST,30th,F,132765
Z2323268841ST,30th,M,24374
Z2324247911ST,30th,M,5698
Z2324255621ST,30th,F,14689
Z2324298271ST,30th,F,15376
Z2333276541ST,30th,F,7005
Z2334223541ST,30th,M,14045
Z2334228891ST,30th,F,21389
Z2334254321ST,30th,F,18591
Z2334294381ST,30th,F,31253
Z2343217981ST,30th,M,21402
Z2343219871ST,30th,M,14940
Z2343230171ST,30th,F,21393
Z2343240421ST,30th,M,1410
Z2343245041ST,30th,F,10209
Z2343247121ST,30th,M,44437
Z2343247581ST,30th,F,14597
Z2353219101ST,30th,F,28503
Z2353224311ST,30th,F,4599
Z2353244061ST,30th,F,13835
Z2353245881ST,30th,M,4924
Z2353269601ST,30th,M,689882
Z2353272281ST,30th,M,36690
Z2353288421ST,30th,M,33430
Z2363225751ST,30th,M,26494
Z2363241741ST,30th,F,16011
Z2363272761ST,30th,M,2757
Z2404228941ST,30th,F,24659
Z2404288501ST,30th,M,16989
Z2414218121ST,30th,M,8003
Z2414219061ST,30th,M,28670
Z2414260891ST,30th,M,5409
Z2414278141ST,30th,F,28671
Z2414279361ST,30th,M,8230
Z2414282761ST,30th,M,12789
Z2414287661ST,30th,F,14581
Z2424271801ST,30th,F,14662
Z2434210911ST,30th,F,3105
Z2434213021ST,30th,F,31538
Z2434216431ST,30th,M,28753
Z2434223371ST,30th,M,28551
Z2434235841ST,30th,F,6033
Z2434243091ST,30th,M,1600
Z2434262261ST,30th,M,7318
Z2434281481ST,30th,M,37581
Z2434282231ST,30th,M,10130
Z2434284471ST,30th,F,8804
Z2443214041ST,30th,F,6501
Z2443264591ST,30th,M,15279
Z2443290571ST,30th,M,13938
Z2444223401ST,30th,M,16828
Z2444279881ST,30th,F,42622
Z2453224361ST,30th,F,18321
Z2453228951ST,30th,M,21665
Z2453257831ST,30th,F,16530
Z2463221471ST,30th,F,446753
Z2463241241ST,30th,M,28330
Z2463243741ST,30th,M,24539
Z2463283681ST,30th,F,28696
Z2463292791ST,30th,M,16034
Z2473225411ST,30th,F,18119
Z2473253391ST,30th,M,12219
Z2473291551ST,30th,M,6285
Z2504263701ST,30th,F,21447
Z2504264881ST,30th,M,502154
Z2504284311ST,30th,M,15454
Z2504285271ST,30th,F,4713
Z2513276581ST,30th,M,4760
Z2513294381ST,30th,F,482708
Z2514214071ST,30th,F,12071
Z2514217721ST,30th,M,10116
Z2514218581ST,30th,F,7374
Z2514226181ST,30th,F,14044
Z2514238011ST,30th,M,1380
Z2514250171ST,30th,F,26472
Z2514254951ST,30th,M,55024
Z2514261261ST,30th,F,27920
Z2514267321ST,30th,F,12784
Z2514276571ST,30th,F,8774
Z2514289151ST,30th,M,6329
Z2523259281ST,30th,M,22202
Z2523263821ST,30th,M,13368
Z2523293621ST,30th,M,8729
Z2523294541ST,30th,M,27146
Z2524213621ST,30th,F,14110
Z2524227371ST,30th,M,28503
Z2524246101ST,30th,M,157742
Z2524252611ST,30th,F,360791
Z2524263561ST,30th,M,4327
Z2524287841ST,30th,F,10366
Z2534225091ST,30th,F,21054
Z2534243421ST,30th,M,24432
Z2534257591ST,30th,M,28413
Z2534267971ST,30th,F,2030
Z2534275511ST,30th,M,15482
Z2534276721ST,30th,F,6258
Z2534296281ST,30th,M,28796
Z2543210841ST,30th,M,10356
Z2543260901ST,30th,M,2214
Z2543272151ST,30th,F,41528
Z2543285041ST,30th,M,2797
Z2543290631ST,30th,M,5341
Z2544210121ST,30th,F,4129
Z2544254201ST,30th,M,6994
Z2544255531ST,30th,F,27927
Z2544286491ST,30th,M,6199
Z2553293991ST,30th,M,63089
Z2563228671ST,30th,F,16588
Z2573216691ST,30th,F,21532
Z2573228101ST,30th,F,14786
Z2573242421ST,30th,F,54932
Z2573284431ST,30th,F,3719
Z2573285941ST,30th,F,27162
Z2604215521ST,30th,M,48088
Z2604220901ST,30th,F,10423
Z2604221051ST,30th,F,59690
Z2604223941ST,30th,M,25469
Z2604226311ST,30th,M,31536
Z2604238441ST,30th,M,24326
Z2604242761ST,30th,M,36707
Z2604246741ST,30th,M,16937
Z2604247381ST,30th,F,3751
Z2604249871ST,30th,F,21312
Z2604251671ST,30th,F,16317
Z2604254961ST,30th,M,5075
Z2604255391ST,30th,M,21093
Z2604259451ST,30th,M,21350
Z2604269251ST,30th,F,1671
Z2604273261ST,30th,F,1359
Z2604276111ST,30th,F,18378
Z2604280941ST,30th,F,14949
Z2604292391ST,30th,F,21318
Z2604298001ST,30th,F,6327
Z2604299621ST,30th,F,21518
Z2614221601ST,30th,M,24332
Z2614251561ST,30th,M,44228
Z2614257651ST,30th,M,12773
Z2614290121ST,30th,F,58622
Z2623242271ST,30th,F,1483
Z2623257241ST,30th,M,7322
Z2623290421ST,30th,M,1470
Z2624226671ST,30th,F,31158
Z2624229671ST,30th,F,17136
Z2624249981ST,30th,F,10073
Z2624252411ST,30th,M,4205
Z2624257861ST,30th,M,21508
Z2624276701ST,30th,F,14241
Z2624281561ST,30th,M,15812
Z2624297571ST,30th,M,12213
Z2633227421ST,30th,M,6953
Z2633272261ST,30th,M,21597
Z2634212351ST,30th,M,3326
Z2634216701ST,30th,M,42969
Z2634218461ST,30th,F,28769
Z2634220111ST,30th,F,53238
Z2634225461ST,30th,F,15872
Z2634233051ST,30th,F,59683
Z2634233841ST,30th,F,22218
Z2634236801ST,30th,F,8542
Z2634237361ST,30th,F,55800
Z2634238131ST,30th,M,12947
Z2634238841ST,30th,M,2567
Z2634241401ST,30th,M,11921
Z2634248411ST,30th,M,14271
Z2634252801ST,30th,F,61127
Z2634253301ST,30th,M,48241
Z2634255121ST,30th,F,4618
Z2634257231ST,30th,F,38067
Z2634259251ST,30th,M,15010
Z2634264221ST,30th,F,24324
Z2634273551ST,30th,M,16426
Z2634275291ST,30th,F,25545
Z2634276171ST,30th,F,10059
Z2634277451ST,30th,M,38103
Z2634279591ST,30th,F,59320
Z2634282791ST,30th,F,37667
Z2634283081ST,30th,F,34874
Z2634284501ST,30th,F,6789
Z2634284671ST,30th,F,2724
Z2634287131ST,30th,F,42453
Z2634287141ST,30th,F,27187
Z2634289101ST,30th,F,59705
Z2634293021ST,30th,M,62285
Z2634294041ST,30th,F,1422
Z2643257211ST,30th,M,22628
Z2643269801ST,30th,F,156030
Z2643279841ST,30th,M,4354
Z2643294071ST,30th,M,13012
Z2644217631ST,30th,F,6714
Z2644225181ST,30th,M,16658
Z2644230991ST,30th,M,38066
Z2644232791ST,30th,M,38067
Z2644236541ST,30th,F,6683
Z2644237091ST,30th,F,17777
Z2644237351ST,30th,F,48482
Z2644241471ST,30th,M,11751
Z2644243681ST,30th,F,6076
Z2644244431ST,30th,F,27145
Z2644246531ST,30th,F,10423
Z2644248101ST,30th,F,12969
Z2644249381ST,30th,F,2612
Z2644249871ST,30th,M,6502
Z2644252841ST,30th,F,15886
Z2644254971ST,30th,F,2457
Z2644258981ST,30th,F,35206
Z2644259381ST,30th,M,13643
Z2644264631ST,30th,M,21924
Z2644269331ST,30th,M,44256
Z2644279431ST,30th,F,4626
Z2644284611ST,30th,F,4763
Z2644285321ST,30th,M,13597
Z2644285421ST,30th,F,15373
Z2644290981ST,30th,M,36056
Z2644291691ST,30th,F,51150
Z2644292031ST,30th,F,26331
Z2644294621ST,30th,F,2724
Z2644294931ST,30th,M,21362
Z2644294991ST,30th,F,28521
Z2644296811ST,30th,F,7988
Z2644298811ST,30th,F,34403
Z2653280781ST,30th,F,1905
Z2653281251ST,30th,M,21056
Z2663252001ST,30th,F,18422
Z2663260731ST,30th,M,22638
Z2672263241ST,30th,M,1780
Z2672286471ST,30th,M,2862
Z2673214951ST,30th,M,36088
Z2673251131ST,30th,M,44656
Z2704248051ST,30th,F,14783
Z2704248911ST,30th,F,21564
Z2704273021ST,30th,F,54378
Z2704296451ST,30th,F,41715
Z2713229071ST,30th,M,17083
Z2713255521ST,30th,M,8253
Z2714210191ST,30th,M,28457
Z2714230941ST,30th,F,2751
Z2714236291ST,30th,F,21337
Z2714245461ST,30th,M,22192
Z2714247431ST,30th,M,15475
Z2714248291ST,30th,M,16844
Z2714248741ST,30th,F,235714
Z2714254341ST,30th,M,31797
Z2714254871ST,30th,M,51584
Z2714258001ST,30th,M,32964
Z2714261671ST,30th,F,21511
Z2714272161ST,30th,F,15028
Z2714295531ST,30th,M,28193
Z2714297171ST,30th,F,26446
Z2723297961ST,30th,F,13558
Z2724218631ST,30th,M,31091
Z2724223601ST,30th,M,4604
Z2724231391ST,30th,F,6551
Z2724242701ST,30th,F,4617
Z2724261501ST,30th,M,44495
Z2724270701ST,30th,M,21032
Z2724273621ST,30th,M,28773
Z2724289591ST,30th,M,3471
Z2724289891ST,30th,M,38128
Z2733237841ST,30th,F,2750
Z2734295001ST,30th,F,28035
Z2744250471ST,30th,F,24816
Z2744264611ST,30th,F,4170
Z2744289241ST,30th,F,44022
Z2763243841ST,30th,F,61663
Z2763251131ST,30th,F,28629
Z2763256941ST,30th,M,31537
Z2763276691ST,30th,M,16865
Z2763282371ST,30th,M,36325
Z2763297561ST,30th,M,15820
Z2804212141ST,30th,M,7965
Z2804217931ST,30th,M,14581
Z2804236881ST,30th,M,61957
Z2804277651ST,30th,M,1705
Z2804296811ST,30th,M,22351
Z2814210041ST,30th,F,28661
Z2814214811ST,30th,M,2643
Z2814215041ST,30th,M,14782
Z2814215061ST,30th,M,27611
Z2814215971ST,30th,M,44245
Z2814216561ST,30th,F,14475
Z2814217381ST,30th,M,1385
Z2814223901ST,30th,F,426738
Z2814225971ST,30th,M,44495
Z2814233081ST,30th,F,6039
Z2814237051ST,30th,F,26434
Z2814237981ST,30th,F,3760
Z2814239041ST,30th,F,42062
Z2814241871ST,30th,M,18321
Z2814242111ST,30th,M,38660
Z2814251131ST,30th,M,28422
Z2814254791ST,30th,M,790723
Z2814256691ST,30th,M,50838
Z2814258001ST,30th,M,5573
Z2814263881ST,30th,M,22722
Z2814264731ST,30th,F,13562
Z2814274861ST,30th,F,18603
Z2814283791ST,30th,M,12104
Z2814286601ST,30th,M,12056
Z2814291631ST,30th,F,18379
Z2823217891ST,30th,M,37205
Z2824211601ST,30th,F,17837
Z2824212341ST,30th,F,21363
Z2824215101ST,30th,F,29146
Z2824215921ST,30th,M,13390
Z2824219291ST,30th,M,18394
Z2824225631ST,30th,M,1754
Z2824231981ST,30th,M,3434
Z2824232241ST,30th,F,11958
Z2824233521ST,30th,M,11931
Z2824233601ST,30th,M,16972
Z2824234581ST,30th,F,11914
Z2824234891ST,30th,F,15515
Z2824235051ST,30th,F,760853
Z2824243141ST,30th,F,12791
Z2824245811ST,30th,F,10369
Z2824247371ST,30th,M,27136
Z2824247811ST,30th,M,11486
Z2824249431ST,30th,M,16336
Z2824250351ST,30th,M,14247
Z2824252351ST,30th,F,51772
Z2824252451ST,30th,M,16295
Z2824253381ST,30th,M,550781
Z2824254101ST,30th,M,39333
Z2824263951ST,30th,M,30055
Z2824264781ST,30th,F,18407
Z2824266361ST,30th,F,37789
Z2824266741ST,30th,F,12747
Z2824267141ST,30th,M,14665
Z2824267591ST,30th,F,5022
Z2824270331ST,30th,F,14040
Z2824276101ST,30th,F,16311
Z2824280961ST,30th,F,21033
Z2824281081ST,30th,M,13196
Z2824281241ST,30th,F,6691
Z2824281881ST,30th,F,36541
Z2824283981ST,30th,M,33471
Z2824284951ST,30th,F,26405
Z2824286981ST,30th,M,37240
Z2824287451ST,30th,M,39148
Z2824288331ST,30th,F,17549
Z2824289121ST,30th,M,16547
Z2824291671ST,30th,F,36691
Z2824295231ST,30th,M,28345
Z2824299111ST,30th,M,13337
Z2833285571ST,30th,M,21349
Z2833289271ST,30th,M,13424
Z2833292821ST,30th,F,15818
Z2834249781ST,30th,M,16203
Z2834261791ST,30th,F,13588
Z2843276021ST,30th,F,7903
Z2843286361ST,30th,M,742010
Z2853248501ST,30th,M,3321
Z2862275681ST,30th,M,7669
Z2863210451ST,30th,F,10909
Z2863229351ST,30th,F,50608
Z2863247891ST,30th,M,18442
Z2863274081ST,30th,F,8807
Z2863279361ST,30th,F,3980
Z2863286721ST,30th,F,41712
Z2904231781ST,30th,M,15022
Z2904255151ST,30th,F,7231
Z2913217171ST,30th,F,14525
Z2914222391ST,30th,F,21683
Z2914230121ST,30th,F,25158
Z2914230711ST,30th,M,13981
Z2914242541ST,30th,F,2529
Z2914283341ST,30th,M,24530
Z2914287041ST,30th,M,39665
Z2914289611ST,30th,F,17058
Z2923284531ST,30th,M,5268
Z2923297651ST,30th,M,24062
Z2924212341ST,30th,F,3760
Z2924213661ST,30th,M,14503
Z2924218991ST,30th,M,17936
Z2924220111ST,30th,M,44244
Z2924224641ST,30th,M,11301
Z2924231181ST,30th,F,16295
Z2924240341ST,30th,F,445754
Z2924246221ST,30th,F,22516
Z2924249001ST,30th,M,50110
Z2924249941ST,30th,F,57359
Z2924257841ST,30th,F,39102
Z2924260761ST,30th,F,14765
Z2924281131ST,30th,M,1319
Z2924287961ST,30th,F,10812
Z2924288631ST,30th,M,15864
Z2924291001ST,30th,F,13976
Z2924299241ST,30th,F,58502
Z2933213611ST,30th,M,4030
Z2933218751ST,30th,M,36170
Z2933219941ST,30th,M,12640
Z2933224691ST,30th,M,44734
Z2933227091ST,30th,M,14919
Z2933243701ST,30th,F,16820
Z2933250191ST,30th,M,10077
Z2933250271ST,30th,M,8655
Z2933255391ST,30th,M,16616
Z2933266081ST,30th,M,15486
Z2933269611ST,30th,M,15258
Z2933272311ST,30th,M,12136
Z2933285661ST,30th,M,13119
Z2934264691ST,30th,F,7794
Z2943232431ST,30th,M,27438
Z2944297271ST,30th,M,11624
Z2953256111ST,30th,M,1692
Z2953294151ST,30th,M,5313
Z2963230821ST,30th,F,21984
Z2963231761ST,30th,F,44040
Z2963247161ST,30th,F,24342
Z2963249541ST,30th,M,6991
Z2963259961ST,30th,M,61923
Z2963267001ST,30th,F,15399
Z2963268881ST,30th,F,28574
Z2963281891ST,30th,F,52323
Z2963297981ST,30th,F,26506
Z3013233741ST,30th,M,1230
Z3013253611ST,30th,M,39801
Z3013279521ST,30th,M,11914
Z3014242361ST,30th,M,13972
Z3014250631ST,30th,M,28765
Z3014280361ST,30th,M,13392
Z3014296941ST,30th,F,6515
Z3023210901ST,30th,F,13637
Z3023253931ST,30th,M,13922
Z3033265311ST,30th,M,10228
Z3034216621ST,30th,F,11921
Z3034226741ST,30th,F,21350
Z3034278571ST,30th,M,16214
Z3043223191ST,30th,F,5333
Z3043251121ST,30th,F,15828
Z3043255051ST,30th,M,31179
Z3044237191ST,30th,F,3760
Z3044263231ST,30th,M,13578
Z3044279331ST,30th,M,48498
Z3053266451ST,30th,M,54824
Z3063255041ST,30th,F,4613
Z3073217631ST,30th,M,28363
Z3073245581ST,30th,M,28507
Z3073247921ST,30th,M,21540
Z3073268431ST,30th,F,13910
Z3073270921ST,30th,F,17013
Z3073284751ST,30th,F,16203
Z3073299781ST,30th,F,4793
Z3104245791ST,30th,M,5759
Z3104251981ST,30th,M,10300
Z3104262981ST,30th,F,12039
Z3113220981ST,30th,M,8784
Z3113229351ST,30th,F,4368
Z3113288131ST,30th,M,24044
Z3114297331ST,30th,M,15869
Z3124266241ST,30th,F,7324
Z3124279171ST,30th,M,47396
Z3124282311ST,30th,F,27825
Z3124291081ST,30th,M,10081
Z3133244681ST,30th,M,10370
Z3134244801ST,30th,M,4300
Z3143240501ST,30th,M,7362
Z3143299691ST,30th,M,21116
Z3153227061ST,30th,F,5820
Z3153227211ST,30th,M,10090
Z3154256881ST,30th,F,4763
Z3154287681ST,30th,F,3975
Z3163228421ST,30th,F,17055
Z3163230871ST,30th,M,13428
Z3163253201ST,30th,F,2512
Z3163279361ST,30th,M,4017
Z3204271381ST,30th,F,14043
Z3204291211ST,30th,F,12072
Z3213210901ST,30th,M,1623
Z3213231431ST,30th,M,14045
Z3213233831ST,30th,F,44409
Z3213234021ST,30th,M,5317
Z3213261131ST,30th,F,28648
Z3213263651ST,30th,F,26457
Z3213266401ST,30th,F,14305
Z3223254671ST,30th,M,1805
Z3223258131ST,30th,M,37699
Z3223277021ST,30th,M,14434
Z3224220851ST,30th,F,8007
Z3224226641ST,30th,F,2196
Z3224240361ST,30th,F,7946
Z3224291531ST,30th,F,7902
Z3233228901ST,30th,M,11939
Z3233266201ST,30th,M,4618
Z3234253851ST,30th,F,62282
Z3234254531ST,30th,M,10374
Z3234299171ST,30th,F,4701
Z3244233961ST,30th,M,18321
Z3244257741ST,30th,M,14918
Z3253210861ST,30th,M,14050
Z3263216341ST,30th,F,14218
Z3263221641ST,30th,M,15238
Z3263265331ST,30th,M,17570
Z3273275031ST,30th,M,8060
Z3273285821ST,30th,F,5647
Z3304225981ST,30th,F,3405
Z3304232441ST,30th,M,42259
Z3304256851ST,30th,F,14311
Z3304280021ST,30th,M,12955
Z3304282641ST,30th,M,8812
Z3313210461ST,30th,F,5066
Z3313231681ST,30th,F,10385
Z3313236111ST,30th,F,28476
Z3313240521ST,30th,M,31202
Z3313241591ST,30th,F,12219
Z3313243151ST,30th,F,28733
Z3313267661ST,30th,F,14536
Z3313293641ST,30th,F,4104
Z3313297901ST,30th,F,1217
Z3314211941ST,30th,M,3425
Z3314229821ST,30th,F,22227
Z3314267511ST,30th,M,15588
Z3323240881ST,30th,M,15447
Z3323282701ST,30th,F,4307
Z3324217291ST,30th,F,59701
Z3324226931ST,30th,M,4795
Z3324275311ST,30th,F,16627
Z3333216801ST,30th,M,21320
Z3333276811ST,30th,M,5294
Z3334226851ST,30th,F,27158
Z3334251781ST,30th,F,27135
Z3334260651ST,30th,F,5029
Z3334268891ST,30th,M,16398
Z3344212161ST,30th,M,54135
Z3344214151ST,30th,F,22740
Z3344225211ST,30th,F,21670
Z3344229121ST,30th,F,6592
Z3344235521ST,30th,M,18324
Z3344243841ST,30th,F,16910
Z3344252871ST,30th,M,18151
Z3353235151ST,30th,M,28314
Z3353244711ST,30th,M,15566
Z3353250601ST,30th,F,36613
Z3353275041ST,30th,M,415767
Z3353292611ST,30th,M,28504
Z3353292771ST,40th,M,44498
Z3363283231ST,40th,M,50895
Z3373226921ST,30th,F,11925
Z3404223491ST,30th,F,22203
Z3404249061ST,40th,M,28671
Z3404283081ST,40th,M,7946
Z3413281621ST,40th,M,44641
Z3414224161ST,40th,M,21955
Z3414224361ST,40th,M,14560
Z3414274881ST,40th,M,54087
Z3414286701ST,40th,M,16354
Z3414287841ST,30th,F,16927
Z3414288301ST,30th,F,4056
Z3414290401ST,30th,F,1792
Z3423267161ST,40th,M,27737
Z3424297741ST,40th,M,16413
Z3433212271ST,40th,M,24229
Z3433252701ST,40th,M,42171
Z3433257721ST,40th,M,3730
Z3434218761ST,40th,M,28569
Z3434219871ST,40th,M,22628
Z3434228051ST,40th,M,27124
Z3434252491ST,30th,F,58704
Z3434260281ST,30th,F,16910
Z3434274631ST,40th,M,55021
Z3443232181ST,40th,M,5376
Z3444256481ST,30th,F,1647
Z3444271011ST,40th,M,21503
Z3444296321ST,30th,F,24334
Z3444296581ST,40th,M,16857
Z3453222441ST,40th,M,7322
Z3453246341ST,40th,M,39311
Z3453263081ST,40th,M,11307
Z3453293131ST,40th,M,28775
Z3463232251ST,30th,F,8644
Z3463263111ST,40th,M,7002
Z3463290481ST,30th,F,28123
Z3473226621ST,40th,M,16526
Z3504213191ST,40th,M,2425
Z3504218911ST,40th,M,11812
Z3504227981ST,40th,M,7538
Z3504231561ST,30th,F,10358
Z3504251021ST,40th,M,21387
Z3504251111ST,30th,F,16550
Z3513222691ST,30th,F,5268
